id,name,type,root
58da28d463cc69622c95b265,Bertelsmann India Investments,crunchbase,
593e4e0b792767c7aac97db5,Bertelsmann Asia Investment Fund,crunchbase,Bertelsmann India Investments
aeiE9rPtviQmy8avf,Bertelsmann,manualEntry,Bertelsmann India Investments
58db1de0d0135fd1440ce774,Berggruen Holdings,manualEntry,
GndH6cAPhdf7JeCEC,Benny Girsang,manualEntry,
TPqPyByERsChe7KDu,Bennett Coleman and Co Ltd,crunchbase,
LJgehoSAFJt7m9qnE,Benjamin Scherrey,manualEntry,
9HCMWXv3KWLzp7rSS,Benjamin Ling,crunchbase,Benjamin Scherrey
58cd025c638b0c5029d76d24,Benesse,manualEntry,
ADkckAPe69vEwqA79,Benchmark,crunchbase,
AH7ib3adum5C58ysf,Benchachinda Holding,manualEntry,
592e93fd1666f9d5571a7c06,Ben Macrory,crunchbase,
96mYQYKoPnY4YaXSo,Ben Horowitz,crunchbase,
wSihDTLCn4FfF4aBW,Ben Chew,manualEntry,
KJyemzP4jv2K2BWFT,Ben Ball,crunchbase,
595f3d27ddf47b64f4cfbebf,Belgian Investment Company,manualEntry,
5913cb33d6e68773721b85b4,Beijing Zhongtai Chuanghui Equity,manualEntry,
zf6dixHpN8jB7cevg,Beijing Zhongrunfa Investment (中润发投资),manualEntry,
592e276198836926cd61bb28,Beijing Yisheng Innovation Technology,crunchbase,
591188af71fdbb730dc0c4f0,Beijing Yiqichuang Consulting,manualEntry,
yRCEWLH7miZ6s9tiL,Beijing UTour International Travel Service Co.,crunchbase,
6jZ5rtmwDTqwHNwnY,Beijing TRS Information Technology (拓尔思),manualEntry,
fFNAm2RJvy9g2tKib,Beijing Phoenix Wealth Holding Group,crunchbase,
h5LA2LEwbFC2ywmaP,Beijing News,manualEntry,
48ZMiPi8WpnJ95piu,Beijing New Hope Industry Investment Center L.P.,,Beijing News
595da5b7fdd463fdfb1c82e4,Beijing Love & Health Group,manualEntry,
92MhLncA3Qtid7zae,Beijing Kunlun Tech Co Ltd (北京昆仑万维),manualEntry,
kAdQnaWTkwpQy6LQP,Beijing Infinitas Interactive Media Co,manualEntry,
qDLedsi7KY8TzuAun,Beijing Hualian Group,manualEntry,
58e1f29d205937680875f7e1,Beijing Hongtu Lide Technologies,manualEntry,
N4XmbgJutugk4QKxY,Beijing Holch Capital (北京厚持投资),manualEntry,
