id,name,type,
5976b60650983ee7bf206477,ZhenFund,crunchbase,
58d32ec961ff76edbff86d63,Zhencheng Fund,manualEntry,
LWfcWgAwECgtGpjRF,Zhen Fund (真格基金),manualEntry,
59279ab669b712715ab93624,Zhen Cong,manualEntry,
pANmF6c6zhvMose7q,Zhemin Hu,crunchbase,
FCFRBpyXJkWawKAPv,Zhejiang Daily Media (浙报传媒- 东方星空),manualEntry,
591d717b22ab739483bd7582,Zhaoxi Lu,manualEntry,
592b9cebb7ca4c70bf8c3cc6,Zhaopin.com,manualEntry,
5942241e61af89063075d940,Zhangjiang Innopark,manualEntry,
5976b6156fa87751d8f3213b,Zhang Peifeng,manualEntry,
6YyhroKxNQts6Rqsc,Zhang Junxi,manualEntry,
TRk78RviHva8Lkhta,Zhang Jiang (张江),manualEntry,
58e71111221a632255116e08,Zhanbo Investment,manualEntry,
58d24db3950b2e8800e0549a,Zhan Jisheng,manualEntry,
ASQBKe8We8upqCi7G,Zhèng xuān tóuzī (正軒投資),manualEntry,
gzp9iRKoCDqqEhoKx,Zeus Entertainment (天神娱乐),manualEntry,
5955c9d068be252cc7766404,Zeta,manualEntry,
dALJ66ZX7QFBPs8BZ,Zeroth.ai,manualEntry,
58e38c203606815a57bffe8c,Zerodha,manualEntry,
xNTiuMKKBxHKKrToC,Zero2IPO Ventures (清科创投),manualEntry,
59197a6c67ee47ea70bcdd56,Zephyr Peacock India,crunchbase,
58e5bc5c72235859ffc1afb3,Zephyr Peacock,manualEntry,
58e66bfe4205e8cd0aeb9511,Zephyr Management,crunchbase,
gh67D6YxG4smeYANH,ZenStone Venture Capital,crunchbase,
mCRus5oQuPy5ANqi4,Zenmen (上海掌门科技),manualEntry,
58eda2e224fc916dcabd6a27,Zendesk,crunchbase,
s3izEEtrnRjro7MPT,Zelkova Ventures,crunchbase,
59310d61d05b95ce145c3f61,Zefor Securities Pty Ltd,manualEntry,
5943a78d16c625c7c0346345,Zee Entertainment Enterprises,crunchbase,
58da1fdc4ff41883229b258e,ZD Venture Capital,manualEntry,
bmnroJChRpwhsomW8,"ZCC Capital (	志成资本)",manualEntry,
xkQYwtnRFZwEtrX58,ZBJ.com (猪八戒网),manualEntry,
HWSz7Ms6XGdn9LPG7,Zain,manualEntry,
591272fc03e0f4fe444c3c36,Zaheer Rattonsey,crunchbase,
58cba05f811a032571ea957b,Zaheer Memon,crunchbase,
pNnY5xwHME2CFrGwZ,Zach Weinberg,crunchbase,
59644c3d015ce03ea87fdd4a,Zach Klein,crunchbase,
Ct7ZBrCMHASXcdM2W,Z&H Investments (北京众海投资),manualEntry,
592696a632a2d7a29d4f8fb6,Z Ventures Group,manualEntry,
mNqjddZaTwQfPu9kN,YY Inc (欢聚时代 / YY多玩),manualEntry,
591aa5494388fbf6b808977b,Yuvraj Singh,crunchbase,
eeX5f4FT6fGtsdwwm,Yuuwa Capital,crunchbase,
pZ2vrrWRKk7hqt3ih,Yuri Milner,crunchbase,
58fdb37efbe54b186b58a7af,Yunyihua Telecommunication,manualEntry,
591ac84254e8f6f8044f7118,Yunqi Capital,manualEntry,
596d7dced52f6715c700924e,Yunnan Metropolitan Construction Investment Group,manualEntry,
yK9F94zY656GzbmNW,Yunnan Huizhong Fund,crunchbase,
ss4ntBw3wLn3yn6Pf,Yungi VC (云启创投),manualEntry,
59422449799746e4a5e7e7aa,Yunchun Capital,manualEntry,
LpwHZHDA8j3WTSppg,Yume no Machi Souzou Iinkai,manualEntry,
LyehG7EvBC6ZNMDoT,Yuhan Hu,manualEntry,
TDAJaJgzbFBygxcTS,Yuewen (阅文集团),manualEntry,
58d23e5e4df0e49c8bebc8b6,Yueke Capital,manualEntry,
58ca5903508180912607a953,Yuantiku,manualEntry,
W3LDTHiyj8b9Md4Xd,Yuantai Investment Partners,manualEntry,
dKe6NK9hPXfxvd69Q,Yuantai Investment,manualEntry,
58e7455248d2a2940d37fff4,Yuanshi Capital,manualEntry,
5926530eb5cb637b1b8b2da6,YuanMing Capital,crunchbase,
594a3b180c23df229b1bfe7b,Yuanke Capital,manualEntry,
58de26fe298e57672b876197,Yuanda Holdings,manualEntry,
4ppfJBwHzuqP4o72y,Yuan Capital (乾源资本),manualEntry,
59118e6c59aa92a3f847123a,Yu Zuo,manualEntry,
TfEMgdEMrfqgavPPg,YSS Capital,crunchbase,
